x,y,z,yaw
21927.302390354384,51752.451112121205,182.9,1.5341559717538347
21927.62990580203,51756.91382352484,182.9,1.469780984268476
21928.16477635744,51761.35889131421,182.9,1.4133855656526606
21928.73109635286,51765.801283181165,182.9,1.4570552339142762
21929.272105492644,51770.24653797865,182.9,1.4799582096455677
21929.676066067892,51774.70470348391,182.9,1.465761369335627
21930.154157256882,51779.1571059411,182.9,1.4649694489655054
21930.598353722926,51783.61298966863,182.9,1.4607864105303463
21931.051055628617,51788.06804798805,182.9,1.3863322740237365
21931.522201353902,51792.52112688928,182.9,1.4641733639515593
21931.989040189063,51796.974074117796,182.9,1.4594614340943497
21932.44641205904,51801.42739475509,182.9,1.4725747962346885
21932.821987508763,51805.887638735476,182.9,1.499796727357229
21933.26891192336,51810.34149978285,182.9,1.4666150004500833
21933.721546099987,51814.79479818378,182.9,1.47722456363346
21934.167579004254,51819.24865298413,182.9,1.4634117971437295
21934.677311624448,51823.696907211524,182.9,1.4520463781001887
21935.058757298088,51828.1564465213,182.9,1.4948605523104628
21935.512532807967,51832.609673125444,182.9,1.4276467125982517
21935.96883416452,51837.062736439184,182.9,1.487988956826685
21936.481896630234,51841.5108811407,182.9,1.466501706173891
21936.916999424582,51845.965981395755,182.9,1.4575979897429274
21937.44815737654,51850.4127356283,182.9,1.458252037183151
21937.983770814135,51854.859224840686,182.9,1.5515233024156942
21938.253592893405,51859.329250437724,182.9,1.4620729513584012
21938.6803344203,51863.78560593851,182.9,1.4623387819431268
21939.186069328924,51868.2351746181,182.9,1.4430579304041908
21939.556316188467,51872.69676781537,182.9,1.473196063847841
21940.049411579083,51877.14759916982,182.9,1.4879901277555385
21940.44842550389,51881.60656910815,182.9,1.466817664215465
21940.654823316785,51886.0821048192,182.9,1.5672192114247028
21941.074058483795,51890.538619888146,182.9,1.4546772867326456
21941.54399475903,51894.99037701411,182.9,1.4792088206194915
21941.92235451714,51899.45006106529,182.9,1.4828716379170914
21942.261094451245,51903.913371614835,182.9,1.4789146732320793
21942.642677689266,51908.37315352261,182.9,1.5003921741250135
21943.058118804314,51912.83022278307,182.9,1.5011087696629888
21943.39272306626,51917.29457285674,182.9,1.4602668230243796
21943.68981313836,51921.762265122044,182.9,1.499318460637091
21944.14954876468,51926.215658960304,182.9,1.4471719939690753
21944.493767709282,51930.679151616074,182.9,1.4949870187688823
21944.87251659533,51935.13956533151,182.9,1.442166448668057
21945.24072951262,51939.60086696634,182.9,1.4453483995670167
21945.669104466233,51944.05685365025,182.9,1.5180655786544306
21945.977636981752,51948.52332581916,182.9,1.4824969034246551
21946.335115787006,51952.985474816334,182.9,1.503931959111224
21946.613639012085,51957.454526964204,182.9,1.4539180354012884
21947.077063038556,51961.907334965945,182.9,1.4811317343356416
21947.46643478072,51966.366622632,182.9,1.4713054574492774
21947.833370971413,51970.827864306826,182.9,1.4721259276502092
21948.148907594816,51975.29360502817,182.9,1.522278928466098
21948.556796251298,51979.75123255358,182.9,1.4734037683146315
21948.965388250206,51984.208791450685,182.9,1.4975318733075351
21949.242675827994,51988.677871872234,182.9,1.5019338486607412
21949.71678440063,51993.12967342707,182.9,1.447597638394066
21950.03124164114,51997.595491025495,182.9,1.4866748731396269
21950.349853553853,52002.06094744453,182.9,1.4684142185388172
21950.76750689061,52006.517711660825,182.9,1.4937244876041758
21951.033200556354,52010.987827173754,182.9,1.4584152581607943
21951.339191076946,52015.4544125341,182.9,1.516118378675508
21951.774118404588,52019.90968224954,182.9,1.4833122948545094
21952.19140550943,52024.36651128948,182.9,1.5450563952810505
21952.439160527425,52028.83824408203,182.9,1.475392607652824
21952.821997802377,52033.29812342891,182.9,1.4909979216986218
21953.146349076593,52037.763153813874,182.9,1.499901322683858
21953.517727836752,52042.22406704749,182.9,1.4908473790806318
21953.916331611894,52046.68260351408,182.9,1.470545487253488
21954.237359370854,52051.14796904445,182.9,1.5066663906519695
21954.544804433488,52055.6145421185,182.9,1.4898302572678839
21954.890296916903,52060.077788530994,182.9,1.496696528186536
21955.197073618325,52064.54444916711,182.9,1.4935272541375932
21955.566796733194,52069.005597898795,182.9,1.4781601250817802
21955.868770097608,52073.47270803801,182.9,1.5117348062348877
21956.21987861604,52077.93551926496,182.9,1.4732019526294118
21956.609931722578,52082.39492800484,182.9,1.4979360194827502
21956.989812070864,52086.8552440337,182.9,1.4923104662581559
21957.3199783224,52091.31993273808,182.9,1.478128652097361
21957.702924952224,52095.780006358946,182.9,1.493245964071053
21958.031371326124,52100.24486778522,182.9,1.4974586285115286
21958.35609303592,52104.7100640159,182.9,1.5066675849436089
21958.750383693558,52109.16917696328,182.9,1.4551781238952117
21959.200867219228,52113.6233833304,182.9,1.4765284731442392
