# f681237f-fc88-4d1e-ad31-876ef0d99143
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 21919.9502107; 51753.1141732; -0.0873421; -0.0000036; 61.4268919; 0.6316041
1.9996821; 21920.1246520; 51755.1062323; -0.0873488; -0.0000031; 61.4474496; 0.6297015
3.9993641; 21920.2991056; 51757.0982905; -0.0873545; -0.0000027; 61.4679386; 0.6277930
5.9990462; 21920.4735701; 51759.0903468; -0.0873599; -0.0000026; 61.4883586; 0.6238035
7.9987283; 21920.6480451; 51761.0824034; -0.0873650; -0.0000025; 61.5086422; 0.6219258
9.9984104; 21920.8225303; 51763.0744586; -0.0873701; -0.0000025; 61.5288580; 0.6200388
11.9980924; 21920.9970253; 51765.0665119; -0.0873750; -0.0000024; 61.5490059; 0.6161082
13.9977745; 21921.1715301; 51767.0585663; -0.0873798; -0.0000024; 61.5690196; 0.6142552
15.9974566; 21921.3460443; 51769.0506189; -0.0873845; -0.0000023; 61.5889665; 0.6123896
17.9971386; 21921.5205676; 51771.0426695; -0.0873890; -0.0000023; 61.6088465; 0.6085169
19.9968207; 21921.6951001; 51773.0347217; -0.0873935; -0.0000022; 61.6285944; 0.6066882
21.9965028; 21921.8696414; 51775.0267719; -0.0873979; -0.0000022; 61.6482767; 0.6048438
23.9961849; 21922.0441910; 51777.0188199; -0.0874021; -0.0000021; 61.6678928; 0.6010279
25.9958669; 21922.2187493; 51779.0108701; -0.0874063; -0.0000021; 61.6873791; 0.5992232
27.9955490; 21922.3933157; 51781.0029182; -0.0874103; -0.0000020; 61.7068007; 0.5973999
29.9952311; 21922.5678899; 51782.9949637; -0.0874143; -0.0000020; 61.7261571; 0.5936397
31.9949131; 21922.7424722; 51784.9870122; -0.0874182; -0.0000019; 61.7453857; 0.5918585
33.9945952; 21922.9170619; 51786.9790582; -0.0874219; -0.0000019; 61.7645506; 0.5900561
35.9942773; 21923.0916589; 51788.9711014; -0.0874256; -0.0000018; 61.7836512; 0.5863505
37.9939593; 21923.2662634; 51790.9631482; -0.0874292; -0.0000018; 61.8026260; 0.5845925
39.9936414; 21923.4408748; 51792.9551923; -0.0874327; -0.0000017; 61.8215382; 0.5828109
41.9933235; 21923.6154929; 51794.9472334; -0.0874361; -0.0000017; 61.8403869; 0.5791589
43.9930056; 21923.7901182; 51796.9392786; -0.0874394; -0.0000016; 61.8591119; 0.5774238
45.9926876; 21923.9647497; 51798.9313210; -0.0874427; -0.0000016; 61.8777751; 0.5756627
47.9923697; 21924.1393874; 51800.9233601; -0.0874458; -0.0000016; 61.8963758; 0.5720634
49.9920518; 21924.3140318; 51802.9154039; -0.0874489; -0.0000015; 61.9148547; 0.5703507
51.9917338; 21924.4886821; 51804.9074446; -0.0874519; -0.0000015; 61.9332727; 0.5686102
53.9914159; 21924.6633380; 51806.8994819; -0.0874548; -0.0000014; 61.9516291; 0.5650623
55.9910980; 21924.8380001; 51808.8915244; -0.0874577; -0.0000014; 61.9698655; 0.5633718
57.9907801; 21925.0126677; 51810.8835635; -0.0874605; -0.0000014; 61.9880421; 0.5616517
59.9904621; 21925.1873404; 51812.8755991; -0.0874632; -0.0000013; 62.0061579; 0.5581542
61.9901442; 21925.3620190; 51814.8676404; -0.0874659; -0.0000013; 62.0241556; 0.5564855
63.9898263; 21925.5367026; 51816.8596782; -0.0874684; -0.0000013; 62.0420943; 0.5547858
65.9895083; 21925.7113909; 51818.8517121; -0.0874709; -0.0000012; 62.0599730; 0.5513377
67.9891904; 21925.8860848; 51820.8437524; -0.0874734; -0.0000012; 62.0777356; 0.5496905
69.9888725; 21926.0607831; 51822.8357888; -0.0874758; -0.0000012; 62.0954400; 0.5480111
71.9885546; 21926.2354859; 51824.8278212; -0.0874781; -0.0000011; 62.1130853; 0.5446113
73.9882366; 21926.4101938; 51826.8198605; -0.0874803; -0.0000011; 62.1306161; 0.5429853
75.9879187; 21926.5849058; 51828.8118957; -0.0874825; -0.0000011; 62.1480897; 0.5413262
77.9876008; 21926.7596219; 51830.8039267; -0.0874847; -0.0000011; 62.1655050; 0.5379737
79.9872828; 21926.9343428; 51832.7959650; -0.0874868; -0.0000010; 62.1828077; 0.5363685
81.9869649; 21927.1090675; 51834.7879993; -0.0874888; -0.0000010; 62.2000539; 0.5347296
83.9866470; 21927.2837958; 51836.7800289; -0.0874908; -0.0000010; 62.2172426; 0.5314234
85.9863291; 21927.4585288; 51838.7720660; -0.0874928; -0.0000009; 62.2343204; 0.5298379
87.9860111; 21927.6332653; 51840.7640997; -0.0874949; -0.0000018; 62.2513426; 0.5282183
89.9856932; 21927.8080086; 51842.7561277; -0.0875003; -0.0000036; 62.2683081; 0.5249562
91.9853753; 21927.9827658; 51844.7481693; -0.0875068; -0.0000028; 62.2851642; 0.5233928
93.9850573; 21928.1575335; 51846.7402028; -0.0875114; -0.0000018; 62.3019656; 0.5217953
95.9847394; 21928.3323070; 51848.7322192; -0.0875139; -0.0000007; 62.3187112; 0.5185793
97.9844215; 21928.5070863; 51850.7242623; -0.0875154; -0.0000008; 62.3353492; 0.5170344
99.9841036; 21928.6818676; 51852.7162912; -0.0875170; -0.0000008; 62.3519331; 0.5154563
101.9837856; 21928.8566508; 51854.7083065; -0.0875186; -0.0000008; 62.3684621; 0.5122816
103.9834677; 21929.0314396; 51856.7003492; -0.0875201; -0.0000007; 62.3848849; 0.5107560
105.9831498; 21929.2062300; 51858.6923774; -0.0875216; -0.0000007; 62.4012545; 0.5091990
107.9828318; 21929.3810222; 51860.6843913; -0.0875230; -0.0000007; 62.4175699; 0.5060650
109.9825139; 21929.5558196; 51862.6764337; -0.0875244; -0.0000007; 62.4337807; 0.5045583
111.9821960; 21929.7306185; 51864.6684610; -0.0875257; -0.0000007; 62.4499390; 0.5030228
113.9818780; 21929.9054189; 51866.6604739; -0.0875271; -0.0000007; 62.4660440; 0.4999280
115.9815601; 21930.0802243; 51868.6525158; -0.0875283; -0.0000006; 62.4820458; 0.4984399
117.9812422; 21930.2550310; 51870.6445424; -0.0875296; -0.0000006; 62.4979959; 0.4969265
119.9809243; 21930.4298390; 51872.6365544; -0.0875308; -0.0000006; 62.5138935; 0.4938694
121.9806063; 21930.6046518; 51874.6285956; -0.0875320; -0.0000006; 62.5296893; 0.4923996
123.9802884; 21930.7794657; 51876.6206217; -0.0875332; -0.0000006; 62.5454341; 0.4909087
125.9799705; 21930.9542806; 51878.6126331; -0.0875343; -0.0000006; 62.5611273; 0.4878878
127.9796525; 21931.1291003; 51880.6046729; -0.0875354; -0.0000005; 62.5767201; 0.4864360
129.9793346; 21931.3039207; 51882.5966994; -0.0875363; -0.0000005; 62.5922625; 0.4849680
131.9790167; 21931.4787417; 51884.5887100; -0.0875374; -0.0000007; 62.6077543; 0.4819864
133.9786988; 21931.6535649; 51886.5807478; -0.0875345; 0.0000037; 62.6231469; 0.4805538
135.9783808; 21931.8283718; 51888.5727621; -0.0875243; 0.0000049; 62.6384901; 0.4791105
137.9780629; 21932.0031606; 51890.5647904; -0.0875163; 0.0000030; 62.6537834; 0.4761528
139.9777450; 21932.1779368; 51892.5568086; -0.0875128; 0.0000005; 62.6689787; 0.4747355
141.9774270; 21932.3527118; 51894.5488382; -0.0875136; -0.0000006; 62.6841250; 0.4733130
143.9771091; 21932.5274899; 51896.5408789; -0.0875145; -0.0000003; 62.6992223; 0.4703943
145.9767912; 21932.7022675; 51898.5328970; -0.0875152; -0.0000004; 62.7142229; 0.4689965
147.9764733; 21932.8770475; 51900.5249258; -0.0875160; -0.0000004; 62.7291754; 0.4675977
